3	16	17.200000
6	17	23.900000
16	18	28.700000
6	19	32.600000
11	20	50.000000
12	21	55.700000
15	22	63.400000
10	23	74.400000
12	24	82.500000
8	25	83.800000
22	26	93.800000
17	27	97.800000
12	28	97.900000
3	16	17.200000
6	17	23.900000
16	18	28.700000
6	19	32.600000
11	20	50.000000
12	21	55.700000
15	22	63.400000
10	23	74.400000
12	24	82.500000
8	25	83.800000
22	26	93.800000
17	27	97.800000
12	28	97.900000
3	16	17.200000
6	17	23.900000
16	18	28.700000
6	19	32.600000
11	20	50.000000
12	21	55.700000
15	22	63.400000
10	23	74.400000
12	24	82.500000
8	25	83.800000
22	26	93.800000
17	27	97.800000
12	28	97.900000
3	16	17.200000
6	17	23.900000
16	18	28.700000
6	19	32.600000
11	20	50.000000
12	21	55.700000
15	22	63.400000
10	23	74.400000
12	24	82.500000
8	25	83.800000
22	26	93.800000
17	27	97.800000
12	28	97.900000
1	16	62.300000
4	17	69.000000
16	18	73.200000
2	19	90.000000
17	20	93.200000
1	16	62.300000
4	17	69.000000
16	18	73.200000
2	19	90.000000
17	20	93.200000
1	16	62.300000
4	17	69.000000
16	18	73.200000
2	19	90.000000
17	20	93.200000
1	16	62.300000
4	17	69.000000
16	18	73.200000
2	19	90.000000
17	20	93.200000
1	16	62.300000
4	17	69.000000
16	18	73.200000
2	19	90.000000
17	20	93.200000
1	16	62.300000
4	17	69.000000
16	18	73.200000
2	19	90.000000
17	20	93.200000
1	16	62.300000
4	17	69.000000
3	16	17.200000
6	17	23.900000
16	18	28.700000
6	19	32.600000
11	20	50.000000
12	21	55.700000
15	22	63.400000
10	23	74.400000
12	24	82.500000
8	25	83.800000
22	26	93.800000
17	27	97.800000
12	28	97.900000
3	16	17.200000
6	17	23.900000
16	18	28.700000
6	19	32.600000
11	20	50.000000
12	21	55.700000
15	22	63.400000
10	23	74.400000
12	24	82.500000
8	25	83.800000
22	26	93.800000
17	27	97.800000
12	28	97.900000
3	16	17.200000
6	17	18.900000
17	18	27.600000
17	19	37.600000
18	20	37.600000
6	21	41.500000
2	22	51.200000
6	23	51.300000
9	24	72.200000
13	25	76.400000
24	26	80.900000
1	27	98.800000
3	16	17.200000
6	17	18.900000
14	18	24.600000
6	19	27.600000
17	20	27.600000
3	21	32.900000
14	22	33.300000
18	23	33.300000
6	24	40.900000
3	25	41.600000
21	26	41.600000
19	27	55.100000
17	28	61.200000
23	29	61.300000
20	30	66.600000
6	31	68.900000
23	32	70.000000
16	33	76.000000
24	34	82.300000
11	35	84.400000
1	36	84.600000
23	37	90.600000
11	38	93.100000
18	39	99.100000
37	40	99.300000
3	16	17.200000
6	17	18.900000
17	18	27.600000
17	19	37.600000
18	20	37.600000
6	21	41.500000
2	22	51.200000
6	23	51.300000
9	24	72.200000
13	25	76.400000
24	26	80.900000
1	27	98.800000
3	16	17.200000
6	17	18.900000
17	18	27.600000
17	19	37.600000
18	20	37.600000
6	21	41.500000
2	22	51.200000
6	23	51.300000
9	24	72.200000
13	25	76.400000
24	26	80.900000
1	27	98.800000
3	16	17.200000
6	17	18.900000
17	18	27.600000
17	19	37.600000
18	20	37.600000
6	21	41.500000
2	22	51.200000
6	23	51.300000
9	24	72.200000
13	25	76.400000
24	26	80.900000
1	27	98.800000
3	16	17.200000
6	17	18.900000
17	18	27.600000
17	19	37.600000
18	20	37.600000
6	21	41.500000
2	22	51.200000
6	23	51.300000
9	24	72.200000
13	25	76.400000
24	26	80.900000
1	27	98.800000
3	16	17.200000
6	17	18.900000
17	18	27.600000
6	19	37.000000
17	20	37.600000
18	21	37.600000
11	22	51.100000
5	23	60.600000
13	24	61.300000
17	25	66.700000
16	26	67.600000
5	27	69.300000
23	28	69.300000
19	29	75.600000
26	30	76.300000
23	31	79.300000
27	32	79.300000
24	33	79.400000
5	34	82.000000
29	35	84.300000
26	36	86.300000
6	37	86.900000
16	38	88.700000
27	39	89.300000
32	40	89.300000
34	41	90.700000
25	42	91.200000
37	43	95.600000
27	44	99.300000
32	45	99.300000
39	46	99.300000
40	47	99.300000
25	48	99.900000
42	49	99.900000
3	16	17.200000
6	17	18.900000
17	18	27.600000
6	19	37.000000
17	20	37.600000
18	21	37.600000
11	22	51.100000
5	23	60.600000
13	24	61.300000
17	25	66.700000
16	26	67.600000
5	27	69.300000
23	28	69.300000
19	29	75.600000
26	30	76.300000
23	31	79.300000
27	32	79.300000
24	33	79.400000
5	34	82.000000
29	35	84.300000
26	36	86.300000
6	37	86.900000
16	38	88.700000
