110.00,, 14.16,, 15.58,, 27.76,, 0.70,, NONE,, 0.00, 
110.00,, 15.75,, 14.90,, 31.57,, 0.70,, NONE,, 0.00, 
110.00,, 13.59,, 11.24,, 24.84,, 0.70,, NONE,, 0.00, 
110.00,, 12.10,, 16.01,, 28.18,, 0.70,, NONE,, 0.00, 
110.00,, 15.57,, 11.25,, 27.65,, 0.70,, NONE,, 0.00, 
110.00,, 15.11,, 14.58,, 33.77,, 0.70,, NONE,, 0.00, 
110.00,, 16.46,, 12.54,, 26.60,, 0.70,, NONE,, 0.00, 
110.00,, 18.95,, 14.34,, 7.26,, 0.69,, NONE,, 0.00, 
110.00,, 16.31,, 13.19,, 9.98,, 0.69,, NONE,, 0.00, 
110.00,, 31.64,, 20.52,, 30.69,, 0.69,, NONE,, 0.00, 
110.00,, 27.80,, 17.12,, 27.08,, 0.69,, NONE,, 0.00, 
110.00,, 30.84,, 18.91,, 29.86,, 0.69,, NONE,, 0.00, 
110.00,, 34.91,, 20.63,, 32.08,, 0.69,, NONE,, 0.00, 
110.00,, 35.29,, 22.06,, 24.95,, 0.69,, NONE,, 0.00, 
110.00,, 33.98,, 14.00,, 24.62,, 0.65,, NONE,, 0.00, 
110.00,, 8.92,, 21.67,, 23.93,, 0.78,, NONE,, 0.00, 
110.00,, 16.00,, 15.93,, 25.09,, 0.78,, NONE,, 0.00, 
110.00,, 10.71,, 15.91,, 25.26,, 0.78,, NONE,, 0.00, 
110.00,, 15.56,, 13.91,, 24.95,, 0.78,, NONE,, 0.00, 
110.00,, 9.62,, 20.28,, 23.28,, 0.78,, NONE,, 0.00, 
110.00,, 23.34,, 15.28,, 24.34,, 0.78,, NONE,, 0.00, 
110.00,, 23.15,, 22.71,, 9.06,, 0.78,, NONE,, 0.00, 
110.00,, 18.06,, 16.47,, 25.26,, 0.78,, NONE,, 0.00, 
110.00,, 31.01,, 21.03,, 9.91,, 0.77,, NONE,, 0.00, 
110.00,, 24.58,, 16.96,, 8.89,, 0.77,, NONE,, 0.00, 
