110.00, 156, 33.94, 21.85, 29.45, 0.69, NONE, 0.00
110.00, 157, 30.56, 16.46, 24.68, 0.65, NONE, 0.00
110.00, 158, 29.99, 11.15, 20.21, 0.65, NONE, 0.00
110.00, 159, 26.68, 10.91, 17.72, 0.65, NONE, 0.00
110.00, 160, 33.77, 16.07, 19.42, 0.65, NONE, 0.00
110.00, 161, 13.39, 14.09, 18.12, 0.78, NONE, 0.00
110.00, 162, 7.15, 19.50, 23.19, 0.78, NONE, 0.00
110.00, 163, 11.41, 19.36, 21.63, 0.78, NONE, 0.00
110.00, 164, 10.61, 17.67, 14.09, 0.78, NONE, 0.00
110.00, 165, 13.02, 15.82, 19.00, 0.78, NONE, 0.00
110.00, 166, 10.89, 19.43, 18.02, 0.78, NONE, 0.00
110.00, 167, 14.07, 13.15, 20.97, 0.78, NONE, 0.00
110.00, 169, 28.72, 19.17, 15.36, 0.78, NONE, 0.00
110.00, 170, 16.49, 20.01, 17.02, 0.78, NONE, 0.00
110.00, 172, 18.20, 16.61, 16.17, 0.78, NONE, 0.00
110.00, 173, 26.89, 19.35, 15.76, 0.78, NONE, 0.00
110.00, 174, 25.57, 19.46, 17.13, 0.78, NONE, 0.00
110.00, 175, 23.03, 19.76, 12.60, 0.78, NONE, 0.00
110.00, 176, 23.94, 16.99, 18.55, 0.78, NONE, 0.00
110.00, 177, 29.36, 22.45, 10.07, 0.77, NONE, 0.00
110.00, 179, 29.29, 17.43, 15.93, 0.77, NONE, 0.00
110.00, 181, 26.71, 20.86, 8.26, 0.77, NONE, 0.00
110.00, 183, 33.17, 15.89, 13.87, 0.77, NONE, 0.00
110.00, 189, 20.66, 18.72, 9.45, 0.77, NONE, 0.00
110.00, 191, 30.81, 17.35, 17.13, 0.77, NONE, 0.00
110.00, 195, 29.49, 21.29, 24.33, 0.77, NONE, 0.00
110.00, 199, 17.69, 21.38, 30.86, 0.77, NONE, 0.00
110.00, 201, 27.58, 15.72, 23.16, 0.76, NONE, 0.00
110.00, 202, 30.74, 16.10, 29.45, 0.76, NONE, 0.00
110.00, 203, 27.14, 16.02, 29.62, 0.76, NONE, 0.00
110.00, 204, 29.14, 19.57, 27.99, 0.76, NONE, 0.00
110.00, 205, 30.93, 18.63, 24.88, 0.76, NONE, 0.00
110.00, 206, 29.30, 16.18, 31.08, 0.76, NONE, 0.00
110.00, 207, 25.66, 17.80, 25.83, 0.76, NONE, 0.00
110.00, 208, 31.89, 15.17, 27.78, 0.76, NONE, 0.00
110.00, 209, 23.98, 13.94, 22.65, 0.76, NONE, 0.00
110.00, 210, 27.71, 15.57, 20.60, 0.76, NONE, 0.00
110.00, 211, 22.25, 15.03, 14.52, 0.76, NONE, 0.00
110.00, 212, 26.79, 12.59, 12.44, 0.76, NONE, 0.00
110.00, 213, 17.07, 13.90, 16.81, 0.76, NONE, 0.00
110.00, 214, 29.26, 16.52, 19.33, 0.76, NONE, 0.00
110.00, 216, 24.32, 12.31, 17.89, 0.76, NONE, 0.00
110.00, 217, 22.57, 20.67, 29.09, 0.75, NONE, 0.00
110.00, 218, 18.36, 18.37, 29.45, 0.75, NONE, 0.00
110.00, 219, 22.01, 16.17, 24.62, 0.75, NONE, 0.00
110.00, 220, 16.29, 16.12, 24.49, 0.75, NONE, 0.00
110.00, 222, 19.23, 17.69, 30.51, 0.75, NONE, 0.00
110.00, 223, 21.21, 14.37, 25.80, 0.75, NONE, 0.00
110.00, 224, 15.41, 21.78, 29.50, 0.75, NONE, 0.00
110.00, 233, 27.50, 10.85, 25.81, 0.74, NONE, 0.00
110.00, 234, 21.74, 14.23, 27.68, 0.74, NONE, 0.00
110.00, 235, 28.53, 14.53, 22.45, 0.74, NONE, 0.00
110.00, 236, 23.00, 15.36, 30.90, 0.74, NONE, 0.00
110.00, 238, 20.31, 15.28, 29.68, 0.74, NONE, 0.00
110.00, 239, 26.94, 11.63, 24.14, 0.74, NONE, 0.00
110.00, 240, 21.08, 12.73, 32.65, 0.74, NONE, 0.00
110.00, 244, 14.15, 21.85, 27.89, 0.73, NONE, 0.00
110.00, 249, 12.61, 18.76, 20.14, 0.72, NONE, 0.00
110.00, 250, 13.18, 21.70, 13.36, 0.72, NONE, 0.00
110.00, 251, 10.48, 21.22, 20.96, 0.72, NONE, 0.00
110.00, 252, 15.14, 19.84, 11.49, 0.72, NONE, 0.00
110.00, 253, 14.77, 17.65, 17.60, 0.72, NONE, 0.00
110.00, 255, 17.79, 13.82, 20.28, 0.72, NONE, 0.00
110.00, 256, 14.78, 19.79, 14.92, 0.72, NONE, 0.00
110.00, 257, 25.07, 18.43, 26.02, 0.70, NONE, 0.00
110.00, 259, 34.32, 21.58, 21.83, 0.70, NONE, 0.00
110.00, 263, 26.09, 16.43, 22.08, 0.70, NONE, 0.00
110.00, 274, 15.75, 14.72, 28.29, 0.70, NONE, 0.00
110.00, 276, 14.16, 15.58, 27.76, 0.70, NONE, 0.00
110.00, 278, 15.75, 14.90, 31.57, 0.70, NONE, 0.00
110.00, 280, 13.59, 11.24, 24.84, 0.70, NONE, 0.00
110.00, 282, 12.10, 16.01, 28.18, 0.70, NONE, 0.00
110.00, 284, 15.57, 11.25, 27.65, 0.70, NONE, 0.00
110.00, 286, 15.11, 14.58, 33.77, 0.70, NONE, 0.00
110.00, 288, 16.46, 12.54, 26.60, 0.70, NONE, 0.00
110.00, 297, 18.95, 14.34, 7.26, 0.69, NONE, 0.00
110.00, 298, 20.56, 15.08, 12.53, 0.69, NONE, 0.00
110.00, 299, 17.07, 15.15, 12.78, 0.69, NONE, 0.00
110.00, 300, 20.52, 10.57, 11.12, 0.69, NONE, 0.00
110.00, 301, 16.31, 13.19, 9.98, 0.69, NONE, 0.00
110.00, 302, 16.58, 11.96, 18.19, 0.69, NONE, 0.00
110.00, 303, 19.67, 13.24, 10.55, 0.69, NONE, 0.00
110.00, 304, 20.96, 13.88, 12.69, 0.69, NONE, 0.00
110.00, 306, 31.64, 20.52, 30.69, 0.69, NONE, 0.00
110.00, 307, 27.80, 17.12, 27.08, 0.69, NONE, 0.00
110.00, 308, 30.84, 18.91, 29.86, 0.69, NONE, 0.00
110.00, 310, 34.91, 20.63, 32.08, 0.69, NONE, 0.00
110.00, 312, 35.29, 22.06, 24.95, 0.69, NONE, 0.00
110.00, 313, 30.71, 12.90, 20.67, 0.65, NONE, 0.00
110.00, 314, 30.40, 12.23, 15.21, 0.65, NONE, 0.00
110.00, 315, 27.62, 11.21, 21.16, 0.65, NONE, 0.00
110.00, 316, 31.88, 13.96, 20.25, 0.65, NONE, 0.00
110.00, 317, 33.98, 14.00, 24.62, 0.65, NONE, 0.00
110.00, 320, 32.86, 16.58, 20.70, 0.65, NONE, 0.00
110.00, 321, 11.73, 13.02, 16.64, 0.78, NONE, 0.00
110.00, 322, 8.92, 21.67, 23.93, 0.78, NONE, 0.00
110.00, 323, 16.00, 15.93, 25.09, 0.78, NONE, 0.00
110.00, 325, 13.14, 11.92, 18.02, 0.78, NONE, 0.00
110.00, 326, 9.92, 19.51, 21.29, 0.78, NONE, 0.00
110.00, 327, 10.71, 15.91, 25.26, 0.78, NONE, 0.00
110.00, 328, 8.67, 21.94, 19.81, 0.78, NONE, 0.00
110.00, 329, 15.56, 13.91, 24.95, 0.78, NONE, 0.00
110.00, 330, 7.10, 17.53, 20.87, 0.78, NONE, 0.00
110.00, 331, 15.18, 14.95, 21.75, 0.78, NONE, 0.00
110.00, 332, 10.38, 19.39, 12.80, 0.78, NONE, 0.00
110.00, 333, 13.21, 15.52, 15.52, 0.78, NONE, 0.00
110.00, 334, 9.62, 20.28, 23.28, 0.78, NONE, 0.00
110.00, 335, 14.62, 11.71, 21.30, 0.78, NONE, 0.00
110.00, 336, 8.99, 18.87, 15.64, 0.78, NONE, 0.00
110.00, 337, 26.16, 16.49, 18.72, 0.78, NONE, 0.00
110.00, 338, 15.92, 17.20, 21.42, 0.78, NONE, 0.00
110.00, 340, 22.17, 18.74, 14.69, 0.78, NONE, 0.00
110.00, 341, 30.06, 22.66, 14.56, 0.78, NONE, 0.00
110.00, 342, 23.34, 15.28, 24.34, 0.78, NONE, 0.00
110.00, 343, 23.15, 22.71, 9.06, 0.78, NONE, 0.00
110.00, 344, 20.38, 21.57, 12.71, 0.78, NONE, 0.00
110.00, 346, 18.06, 16.47, 25.26, 0.78, NONE, 0.00
110.00, 348, 18.89, 14.25, 15.98, 0.78, NONE, 0.00
110.00, 350, 22.01, 16.86, 15.89, 0.78, NONE, 0.00
110.00, 351, 20.18, 18.97, 11.93, 0.78, NONE, 0.00
110.00, 352, 17.93, 19.80, 14.72, 0.78, NONE, 0.00
110.00, 353, 30.98, 21.72, 13.17, 0.77, NONE, 0.00
110.00, 355, 29.76, 20.82, 12.30, 0.77, NONE, 0.00
110.00, 357, 26.78, 16.91, 11.41, 0.77, NONE, 0.00
110.00, 359, 32.91, 14.71, 18.50, 0.77, NONE, 0.00
110.00, 361, 33.91, 20.41, 12.47, 0.77, NONE, 0.00
110.00, 363, 33.73, 21.89, 16.46, 0.77, NONE, 0.00
110.00, 365, 23.06, 19.13, 12.23, 0.77, NONE, 0.00
110.00, 369, 31.18, 21.18, 15.94, 0.77, NONE, 0.00
110.00, 371, 28.67, 16.46, 16.00, 0.77, NONE, 0.00
110.00, 373, 31.01, 21.03, 9.91, 0.77, NONE, 0.00
110.00, 375, 34.72, 20.04, 18.10, 0.77, NONE, 0.00
110.00, 377, 31.27, 21.02, 11.06, 0.77, NONE, 0.00
110.00, 379, 30.82, 19.41, 21.25, 0.77, NONE, 0.00
110.00, 381, 24.58, 16.96, 8.89, 0.77, NONE, 0.00
110.00, 383, 29.56, 16.31, 12.99, 0.77, NONE, 0.00
110.00, 387, 24.76, 21.62, 30.86, 0.77, NONE, 0.00
110.00, 388, 25.92, 22.41, 34.02, 0.77, NONE, 0.00
110.00, 391, 28.32, 21.56, 23.74, 0.77, NONE, 0.00
110.00, 392, 23.20, 21.61, 32.00, 0.77, NONE, 0.00
110.00, 396, 23.59, 20.62, 34.48, 0.77, NONE, 0.00
110.00, 398, 22.66, 20.55, 32.82, 0.77, NONE, 0.00
110.00, 400, 25.78, 21.72, 31.88, 0.77, NONE, 0.00
110.00, 401, 33.99, 19.68, 19.92, 0.76, NONE, 0.00
110.00, 402, 32.30, 17.32, 28.69, 0.76, NONE, 0.00
110.00, 403, 26.63, 17.75, 28.83, 0.76, NONE, 0.00
110.00, 404, 30.97, 15.36, 26.33, 0.76, NONE, 0.00
110.00, 405, 28.75, 20.02, 23.20, 0.76, NONE, 0.00
110.00, 406, 27.77, 20.24, 30.86, 0.76, NONE, 0.00
110.00, 407, 26.27, 14.90, 24.41, 0.76, NONE, 0.00
110.00, 408, 28.81, 13.35, 31.20, 0.76, NONE, 0.00
110.00, 409, 29.06, 15.86, 23.43, 0.76, NONE, 0.00
110.00, 410, 32.77, 14.74, 27.68, 0.76, NONE, 0.00
